"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/04/23 10:22:35 PM GMT+5:45","agree","Female","23","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Very likely","Likely","Likely","Somewhat likely","Agree","Neutral","Neutral","Disagree","No","70"
"2022/04/23 10:24:40 PM GMT+5:45","agree","male","22","Kavrepalanchok","Plus 2 / Intermediate","Business","2 years more","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Agree","Neutral","Very likely","Likely","Unlikely","Somewhat likely","Agree","Agree","Strongly disagree","Agree","No","75"
"2022/04/23 10:25:28 PM GMT+5:45","agree","male","23","Siraha","Plus 2 / Intermediate","Student","2 years more","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Likely","Very likely","Very likely","Likely","Neutral","Agree","Neutral","Neutral","Yes","95"
"2022/04/23 10:35:05 PM GMT+5:45","agree","male","28","Chitwan","Masters and above","Other","7 months to 12 months","Somewhat agree","Somewhat agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Likely","Likely","Likely","Likely","Neutral","Agree","Neutral","Neutral","No","76"
"2022/04/23 10:48:32 PM GMT+5:45","agree","Female","18","Kathmandu","Bachelor","Student","3 months to 6 months","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Disagree","Neutral","Neutral","Neutral","Yes","95"
"2022/04/23 10:51:41 PM GMT+5:45","agree","Female","21","Lalitpur","Bachelor","Student","Less than 3 months","Somewhat agree","Neutral","Strongly disagree","Strongly disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Agree","Neutral","Neutral","Yes","80"
"2022/04/23 11:05:52 PM GMT+5:45","agree","Female","27","Kathmandu","Masters and above","Service","7 months to 12 months","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Likely","Somewhat likely","Somewhat likely","Very likely","Agree","Agree","Neutral","Neutral","Yes","75"
"2022/04/23 11:25:20 PM GMT+5:45","agree","Female","22","Bhaktapur","Bachelor","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Likely","Likely","Likely","Likely","Agree","Agree","Neutral","Disagree","No","50"
"2022/04/23 11:52:12 PM GMT+5:45","agree","male","22","Surkhet","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Agree","Agree","Agree","Yes","70"
"2022/04/24 6:34:16 AM GMT+5:45","agree","male","21","Bhaktapur","Bachelor","Student","13 months to 2 years","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Disagree","Agree","Agree","Neutral","Yes","80"
"2022/04/24 6:58:09 AM GMT+5:45","agree","male","99","Dhading","SLC/SEE","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Disagree","Agree","Agree","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Very likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","71"
"2022/04/24 7:17:33 AM GMT+5:45","agree","male","31","Syangja","Masters and above","Service","13 months to 2 years","Strongly agree","Strongly agree","Neutral","Strongly disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Agree","Strongly Agree","Strongly Agree","Agree","Yes","89"
"2022/04/24 7:22:25 AM GMT+5:45","agree","male","32","Gorkha","Masters and above","Service","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Likely","Likely","Somewhat likely","Somewhat likely","Neutral","Agree","Agree","Neutral","No","40"
"2022/04/24 7:40:11 AM GMT+5:45","agree","male","20","Kathmandu","Plus 2 / Intermediate","Student","7 months to 12 months","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly Disagree","Agree","Agree","Disagree","Very likely","Likely","Somewhat likely","Very likely","Disagree","Neutral","Agree","Neutral","Yes","90"
"2022/04/24 8:35:03 AM GMT+5:45","agree","male","21","Bhaktapur","Bachelor","Student","7 months to 12 months","Somewhat agree","Strongly agree","Neutral","Strongly disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Likely","Likely","Somewhat likely","Likely","Agree","Agree","Agree","Neutral","Yes","75"
"2022/04/24 8:44:23 AM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","Less than 3 months","Strongly agree","Strongly agree","Somewhat agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","99"
"2022/04/24 8:57:03 AM GMT+5:45","agree","Female","23","Dhanusa","Bachelor","Student","2 years more","Strongly agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Likely","Somewhat likely","Likely","Likely","Agree","Agree","Neutral","Neutral","Yes","60"
"2022/04/24 9:12:16 AM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","3 months to 6 months","Somewhat agree","Strongly agree","Somewhat agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Somewhat likely","Somewhat likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","60"
"2022/04/24 9:42:05 AM GMT+5:45","agree","male","25","Kathmandu","Bachelor","Service","2 years more","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Strongly Agree","Neutral","Disagree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Very likely","Very likely","Very likely","Likely","Neutral","Agree","Neutral","Agree","Yes","94"
"2022/04/24 9:57:50 AM GMT+5:45","agree","male","26","Kathmandu","Bachelor","Service","2 years more","Somewhat agree","Neutral","Somewhat disagree","Neutral","Agree","Disagree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Disagree","Strongly Agree","Disagree","Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Disagree","Likely","Likely","Likely","Likely","Agree","Neutral","Agree","Strongly Agree","Yes","90"
"2022/04/24 11:14:56 AM GMT+5:45","agree","male","23","Morang","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","99"
"2022/04/24 11:15:18 AM GMT+5:45","agree","male","24","Morang","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Very likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","Yes","88"
"2022/04/24 11:20:36 AM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Business","2 years more","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","100"
"2022/04/24 11:28:54 AM GMT+5:45","agree","male","20","Siraha","Bachelor","Student","7 months to 12 months","Somewhat agree","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","50"
"2022/04/24 12:23:02 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","Less than 3 months","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Unlikely","Unlikely","Very unlikely","Unlikely","Neutral","Neutral","Neutral","Neutral","Yes","100"
"2022/04/24 12:31:15 PM GMT+5:45","agree","male","18","Lalitpur","Bachelor","Student","13 months to 2 years","Neutral","Neutral","Neutral","Strongly disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Very likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Disagree","Yes","90"
"2022/04/24 12:41:52 PM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Student","13 months to 2 years","Somewhat agree","Strongly agree","Strongly agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","90"
"2022/04/24 1:05:01 PM GMT+5:45","agree","male","18","Kathmandu","Bachelor","Student","Less than 3 months","Strongly agree","Neutral","Somewhat agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Agree","Agree","Neutral","Yes","50"
"2022/04/24 2:16:26 PM GMT+5:45","agree","male","23","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/04/24 3:17:26 PM GMT+5:45","agree","male","33","Surkhet","Masters and above","Other","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Very likely","Likely","Likely","Somewhat likely","Agree","Agree","Agree","Disagree","Yes","3"
"2022/04/24 3:31:17 PM GMT+5:45","agree","male","37","Morang","Masters and above","Business","2 years more","Somewhat agree","Somewhat agree","Neutral","Strongly disagree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Neutral","Neutral","Yes","85.5"
"2022/04/24 3:54:35 PM GMT+5:45","agree","Female","28","Morang","Masters and above","Student","2 years more","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","90"
"2022/04/24 4:23:58 PM GMT+5:45","agree","male","23","Kailali","Plus 2 / Intermediate","Student","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Agree","Strongly Agree","Neutral","Agree","Yes","90"
"2022/04/24 4:25:57 PM GMT+5:45","agree","male","23","Bhaktapur","Plus 2 / Intermediate","Student","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Likely","Likely","Likely","Likely","Agree","Disagree","Disagree","Disagree","No","40"
"2022/04/24 4:27:54 PM GMT+5:45","agree","Female","22","Kailali","Bachelor","Student","2 years more","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/04/24 4:40:44 PM GMT+5:45","agree","male","20","Kailali","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Likely","Very likely","Very likely","Likely","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Yes","95"
"2022/04/24 6:12:57 PM GMT+5:45","agree","male","23","Kailali","Bachelor","Student","Less than 3 months","Strongly agree","Strongly agree","Neutral","Strongly disagree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Likely","Likely","Likely","Very likely","Agree","Agree","Agree","Agree","Yes","90"
"2022/04/24 7:54:46 PM GMT+5:45","agree","male","24","Lalitpur","Masters and above","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Agree","Agree","No","83"
"2022/04/24 7:57:44 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Industry","13 months to 2 years","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Neutral","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","10"
"2022/04/24 8:10:17 PM GMT+5:45","agree","Female","25","Kathmandu","Bachelor","Other","2 years more","Strongly agree","Strongly agree","Neutral","Somewhat disagree","Agree","Agree","Strongly Disagree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Strongly Disagree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","30"
"2022/04/24 8:13:39 PM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Service","13 months to 2 years","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Unlikely","Agree","Agree","Agree","Agree","No","72"
"2022/04/24 8:14:28 PM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Service","7 months to 12 months","Somewhat agree","Somewhat agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Disagree","Disagree","Likely","Likely","Likely","Likely","Agree","Neutral","Neutral","Neutral","No","50"
"2022/04/24 8:36:02 PM GMT+5:45","agree","male","40","Bhaktapur","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","90"
"2022/04/24 8:48:48 PM GMT+5:45","agree","Female","22","Bara","Bachelor","Student","7 months to 12 months","Somewhat agree","Strongly agree","Somewhat agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","70"
"2022/04/24 8:55:47 PM GMT+5:45","agree","male","33","Morang","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Neutral","Neutral","Neutral","Neutral","No","50"
"2022/04/24 9:03:42 PM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Somewhat agree","Neutral","Strongly disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Likely","Strongly Agree","Strongly Agree","Agree","Agree","Yes","99"
"2022/04/24 9:15:54 PM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Agree","Agree","Strongly Disagree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","30"
"2022/04/24 9:19:36 PM GMT+5:45","agree","Female","25","Kathmandu","Bachelor","Service","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Agree","Yes","90"
"2022/04/24 9:42:43 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","No","70"
